Account,Day,Details,Amount,Balance
Marketing campaigns for Katalytica,4,Marketing,-500.0,70235.28
Evie Jones (Katalytica Daily Wage),4,Wage,-336.0,69899.28
Leon Nelson (Katalytica Daily Wage),4,Wage,-192.0,69707.28
Nancy Thompson (Katalytica Daily Wage),4,Wage,-53.0,69654.28
Katalytica Revenue,4,Revenue,678.0,70315.3
Marketing campaigns for Katalytica,5,Marketing,-500.0,69815.3
Leon Nelson (Katalytica Daily Wage),5,Wage,-512.0,69303.3
Nancy Thompson (Katalytica Daily Wage),5,Wage,-424.0,68879.3
Lily Barton (Katalytica Daily Wage),5,Wage,-344.0,68535.3
Katalytica Revenue,5,Revenue,684.0,69209.83
Marketing campaigns for Katalytica,6,Marketing,-500.0,68709.83
Lily Barton (Katalytica Daily Wage),6,Wage,-344.0,64706.23
Katalytica Revenue,6,Revenue,684.0,65373.25
Marketing campaigns for Katalytica,7,Marketing,-500.0,64859.71
Lily Barton (Katalytica Daily Wage),7,Wage,-344.0,64515.71
Katalytica Revenue,7,Revenue,684.0,65190.23
Marketing campaigns for Katalytica,8,Marketing,-100.0,57907.25
Evie Jones (Katalytica Daily Wage),8,Wage,-448.0,29411.25
Leon Nelson (Katalytica Daily Wage),8,Wage,-512.0,28899.25
Nancy Thompson (Katalytica Daily Wage),8,Wage,-424.0,28475.25
Katalytica Revenue,8,Revenue,684.0,29149.78
Marketing campaigns for Katalytica,9,Marketing,-100.0,29036.23
Evie Jones (Katalytica Daily Wage),9,Wage,-448.0,28588.23
Leon Nelson (Katalytica Daily Wage),9,Wage,-512.0,28076.23
Katalytica Revenue,9,Revenue,684.0,28750.76
Karbucks Revenue,9,Revenue,626.7,29363.91
Marketing campaigns for Katalytica,10,Marketing,-100.0,29263.91
Evie Jones (Katalytica Daily Wage),10,Wage,-448.0,24975.91
Leon Nelson (Katalytica Daily Wage),10,Wage,-512.0,24463.91
Katalytica Revenue,10,Revenue,684.0,25138.44
Karbucks Revenue,10,Revenue,595.2,25720.09
Marketing campaigns for Katalytica,11,Marketing,-100.0,25620.09
Evie Jones (Katalytica Daily Wage),11,Wage,-448.0,23543.53
Nancy Thompson (Katalytica Daily Wage),11,Wage,-424.0,23119.53
Katalytica Revenue,11,Revenue,684.0,23794.05
Karbucks Revenue,11,Revenue,199.3,23941.78
Marketing campaigns for Katalytica,12,Marketing,-100.0,23841.78
Lily Barton (Katalytica Daily Wage),12,Wage,-344.0,23497.78
Katalytica Revenue,12,Revenue,660.0,24148.3
Karbucks Revenue,12,Revenue,381.5,24478.24
Marketing campaigns for Katalytica,13,Marketing,-100.0,24378.24
Lily Barton (Katalytica Daily Wage),13,Wage,-344.0,24034.24
Katalytica Revenue,13,Revenue,660.0,24684.76
Karbucks Revenue,13,Revenue,380.9,25014.1
Marketing campaigns for Katalytica,14,Marketing,-100.0,24914.1
Lily Barton (Katalytica Daily Wage),14,Wage,-344.0,22474.95
Katalytica Revenue,14,Revenue,660.0,23125.47
Karbucks Revenue,14,Revenue,134.8,23208.71
Marketing campaigns for Katalytica,15,Marketing,-100.0,23108.71
Evie Jones (Katalytica Daily Wage),15,Wage,-448.0,21560.71
Katalytica Revenue,15,Revenue,660.0,22211.23
Karbucks Revenue,15,Revenue,269.4,22429.07
Marketing campaigns for Katalytica,16,Marketing,-100.0,22329.07
Evie Jones (Katalytica Daily Wage),16,Wage,-448.0,11781.07
Zoe Gomez (Karbucks Daily Wage),16,Wage,-224.0,11557.07
Katalytica Revenue,16,Revenue,660.0,12207.59
Karbucks Revenue,16,Revenue,568.0,12724.03
Marketing campaigns for Katalytica,17,Marketing,-100.0,12624.03
Evie Jones (Katalytica Daily Wage),17,Wage,-448.0,10931.47
Zoe Gomez (Karbucks Daily Wage),17,Wage,-256.0,10675.47
Tommy Brooks (Karbucks Daily Wage),17,Wage,-44.0,10631.47
Katalytica Revenue,17,Revenue,660.0,11276.99
Karbucks Revenue,17,Revenue,723.0,11948.43
Marketing campaigns for Katalytica,18,Marketing,-100.0,11848.43
Evie Jones (Katalytica Daily Wage),18,Wage,-448.0,11320.43
Zoe Gomez (Karbucks Daily Wage),18,Wage,-256.0,11064.43
Tommy Brooks (Karbucks Daily Wage),18,Wage,-44.0,11020.43
Katalytica Revenue,18,Revenue,660.0,11670.95
Karbucks Revenue,18,Revenue,580.9,12200.28
