Account,Day,Details,Amount,Transaction ID,Business Name
Mark Nelson (Andy's Diamonds Daily Wage),231,Wage,-86.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),231,Wage,-50.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,231,Revenue,1260.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,232,Revenue,4860.0,1.0,Andy's Diamonds
Mark Nelson (Andy's Diamonds Daily Wage),232,Wage,-387.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),232,Wage,-50.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,232,Marketing,-500.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,232,Marketing,-250.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,232,Marketing,-100.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,232,Marketing,-500.0,1.0,Andy's Diamonds
Mark Nelson (Andy's Diamonds Daily Wage),233,Wage,-387.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),233,Wage,-50.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,233,Revenue,5400.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,233,Marketing,-1350.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,234,Revenue,4860.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),234,Wage,-50.0,1.0,Andy's Diamonds
Mark Nelson (Andy's Diamonds Daily Wage),234,Wage,-387.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,234,Marketing,-1350.0,1.0,Andy's Diamonds
Mark Nelson (Andy's Diamonds Daily Wage),235,Wage,-387.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),235,Wage,-50.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,235,Revenue,5400.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,235,Marketing,-1350.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),236,Wage,-400.0,1.0,Andy's Diamonds
Mark Nelson (Andy's Diamonds Daily Wage),236,Wage,-86.0,1.0,Andy's Diamonds
Andy's Diamonds Revenue,236,Revenue,6840.0,1.0,Andy's Diamonds
Marketing campaigns for Andy's Diamonds,236,Marketing,-1350.0,1.0,Andy's Diamonds
Zoe Foster (Andy's Diamonds Daily Wage),237,Wage,-400.0,1.0,Andy's Diamonds
