Account,Day,Details,Amount,Transaction ID,Business Name
Marketing campaigns for Elite Couture,179,Marketing,-100.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),179,Wage,-144.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),179,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,179,Revenue,19814.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,179,Marketing,-6000.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,179,Marketing,-2500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,179,Marketing,-500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,179,Marketing,-250.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,179,Marketing,-500.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),180,Wage,-27.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),180,Wage,-288.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),180,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,180,Revenue,35500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,180,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),181,Wage,-270.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),181,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,181,Revenue,37750.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,181,Marketing,-1350.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),182,Wage,-232.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),182,Wage,-243.0,2.0,Elite Couture
Elite Couture Revenue,182,Revenue,37750.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,182,Marketing,-1350.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),183,Wage,-232.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),183,Wage,-297.0,2.0,Elite Couture
Elite Couture Revenue,183,Revenue,34750.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,183,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),184,Wage,-54.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),184,Wage,-232.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),184,Wage,-132.0,2.0,Elite Couture
Elite Couture Revenue,184,Revenue,31750.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),184,Wage,-216.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,184,Marketing,-1350.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),185,Wage,-216.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),185,Wage,-232.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),185,Wage,-66.0,2.0,Elite Couture
Elite Couture Revenue,185,Revenue,28750.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),185,Wage,-54.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,185,Marketing,-1350.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),186,Wage,-288.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),186,Wage,-264.0,2.0,Elite Couture
Elite Couture Revenue,186,Revenue,31750.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),186,Wage,-27.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,186,Marketing,-1350.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),187,Wage,-264.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),187,Wage,-288.0,2.0,Elite Couture
Elite Couture Revenue,187,Revenue,37500.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),187,Wage,-27.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,187,Marketing,-1350.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),188,Wage,-72.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),188,Wage,-216.0,2.0,Elite Couture
Elite Couture Revenue,188,Revenue,45000.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),188,Wage,-232.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,188,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),189,Wage,-243.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),189,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,189,Revenue,37000.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,189,Marketing,-1350.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),190,Wage,-297.0,2.0,Elite Couture
Elite Couture Revenue,190,Revenue,31500.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),190,Wage,-232.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,190,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),191,Wage,-54.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),191,Wage,-216.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),191,Wage,-132.0,2.0,Elite Couture
Elite Couture Revenue,191,Revenue,29000.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),191,Wage,-232.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,191,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),192,Wage,-54.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),192,Wage,-216.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),192,Wage,-66.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),192,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,192,Revenue,25750.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,192,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),193,Wage,-27.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),193,Wage,-264.0,2.0,Elite Couture
Elite Couture Revenue,193,Revenue,29000.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),193,Wage,-288.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,193,Marketing,-1350.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,194,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),201,Wage,-27.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),201,Wage,-288.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),201,Wage,-264.0,2.0,Elite Couture
Elite Couture Revenue,201,Revenue,33000.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),202,Wage,-216.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),202,Wage,-232.0,2.0,Elite Couture
Elite Couture Revenue,202,Revenue,44750.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),202,Wage,-72.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,202,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),203,Wage,-243.0,2.0,Elite Couture
Elite Couture Revenue,203,Revenue,37500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,203,Marketing,-1350.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),203,Wage,-232.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),204,Wage,-232.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),204,Wage,-297.0,2.0,Elite Couture
Elite Couture Revenue,204,Revenue,32750.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,204,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),205,Wage,-54.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),205,Wage,-216.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),205,Wage,-232.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),205,Wage,-132.0,2.0,Elite Couture
Elite Couture Revenue,205,Revenue,31500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,205,Marketing,-1350.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),206,Wage,-216.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),206,Wage,-232.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),206,Wage,-54.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),206,Wage,-66.0,2.0,Elite Couture
Elite Couture Revenue,206,Revenue,27250.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,206,Marketing,-1350.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),207,Wage,-264.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),207,Wage,-288.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),207,Wage,-27.0,2.0,Elite Couture
Elite Couture Revenue,207,Revenue,33000.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,207,Marketing,-1350.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),208,Wage,-27.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),208,Wage,-288.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),208,Wage,-264.0,2.0,Elite Couture
Elite Couture Revenue,208,Revenue,35500.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,208,Marketing,-1350.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),209,Wage,-232.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),209,Wage,-72.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),209,Wage,-216.0,2.0,Elite Couture
Elite Couture Revenue,209,Revenue,45000.0,2.0,Elite Couture
Marketing campaigns for Elite Couture,209,Marketing,-1350.0,2.0,Elite Couture
