Account,Day,Details,Amount,Transaction ID,Business Name
Marketing campaigns for Elite Jewels,88,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,88,Revenue,3810.0,3.0,Elite Jewels
Elite Jewels Revenue,89,Revenue,12000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,89,Marketing,-500.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),90,Wage,-128.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),90,Wage,-50.0,3.0,Elite Jewels
Elite Jewels Revenue,90,Revenue,9000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,90,Marketing,-500.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,91,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,92,Revenue,12000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),92,Wage,-25.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),92,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,92,Marketing,-500.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),93,Wage,-256.0,3.0,Elite Jewels
Elite Jewels Revenue,93,Revenue,12000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),93,Wage,-25.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,93,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,94,Revenue,16000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),94,Wage,-200.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),94,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,94,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),95,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,95,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),95,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,95,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,96,Revenue,16000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),96,Wage,-25.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),96,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,96,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,97,Revenue,16000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),97,Wage,-200.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),97,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,97,Marketing,-500.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),98,Wage,-96.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),98,Wage,-75.0,3.0,Elite Jewels
Elite Jewels Revenue,98,Revenue,12000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,98,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,99,Revenue,16000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),99,Wage,-25.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),99,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,99,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),100,Wage,-25.0,3.0,Elite Jewels
Elite Jewels Revenue,100,Revenue,16000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,100,Marketing,-500.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),100,Wage,-256.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),101,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,101,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),101,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,101,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),102,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,102,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),102,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,102,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),103,Wage,-25.0,3.0,Elite Jewels
Elite Jewels Revenue,103,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),103,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,103,Marketing,-500.0,3.0,Elite Jewels
Elite Jewels Revenue,104,Revenue,16000.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),104,Wage,-200.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),104,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,104,Marketing,-500.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),105,Wage,-96.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),105,Wage,-75.0,3.0,Elite Jewels
Elite Jewels Revenue,105,Revenue,12000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,105,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),106,Wage,-25.0,3.0,Elite Jewels
Elite Jewels Revenue,106,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),106,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,106,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),107,Wage,-25.0,3.0,Elite Jewels
Elite Jewels Revenue,107,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),107,Wage,-256.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,107,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),108,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,108,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),108,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,108,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),109,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,109,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),109,Wage,-32.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,109,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),110,Wage,-25.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),110,Wage,-256.0,3.0,Elite Jewels
Elite Jewels Revenue,110,Revenue,16000.0,3.0,Elite Jewels
Marketing campaigns for Elite Jewels,110,Marketing,-500.0,3.0,Elite Jewels
Katherine Moss (Elite Jewels Daily Wage),111,Wage,-200.0,3.0,Elite Jewels
Elite Jewels Revenue,111,Revenue,16000.0,3.0,Elite Jewels
Zoe Gomez (Elite Jewels Daily Wage),111,Wage,-32.0,3.0,Elite Jewels
