Account,Day,Details,Amount,Transaction ID,Business Name
Mollie Martinez (Kalico Midtown Daily Wage),204,Wage,-125.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),204,Wage,-160.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),205,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),205,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),205,Wage,-330.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),205,Wage,-256.0,4.0,Kalico Midtown
Kalico Midtown Revenue,205,Revenue,10423.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),206,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),206,Wage,-250.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),206,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),206,Wage,-240.0,4.0,Kalico Midtown
Kalico Midtown Revenue,206,Revenue,11188.0,4.0,Kalico Midtown
Kalico Midtown Revenue,207,Revenue,15265.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),207,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),207,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),207,Wage,-300.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),207,Wage,-240.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,207,Marketing,-250.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,207,Marketing,-2500.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),208,Wage,-200.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),208,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),208,Wage,-264.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),208,Wage,-320.0,4.0,Kalico Midtown
Kalico Midtown Revenue,208,Revenue,23629.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,208,Marketing,-2750.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),209,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),209,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),209,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),209,Wage,-240.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),209,Wage,-64.0,4.0,Kalico Midtown
Kalico Midtown Revenue,209,Revenue,15425.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,209,Marketing,-2750.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),210,Wage,-168.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),210,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),210,Wage,-240.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),210,Wage,-64.0,4.0,Kalico Midtown
Kalico Midtown Revenue,210,Revenue,21275.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),210,Wage,-150.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,210,Marketing,-2750.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),211,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),211,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),211,Wage,-90.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),211,Wage,-264.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),211,Wage,-256.0,4.0,Kalico Midtown
Kalico Midtown Revenue,211,Revenue,22435.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,211,Marketing,-2750.0,4.0,Kalico Midtown
Kalico Midtown Revenue,212,Revenue,14896.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),212,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),212,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),212,Wage,-330.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),212,Wage,-256.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,212,Marketing,-2750.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),213,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),213,Wage,-250.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),213,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),213,Wage,-240.0,4.0,Kalico Midtown
Kalico Midtown Revenue,213,Revenue,8928.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,213,Marketing,-2750.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),214,Wage,-300.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),214,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),214,Wage,-200.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),214,Wage,-240.0,4.0,Kalico Midtown
Kalico Midtown Revenue,214,Revenue,25004.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,214,Marketing,-2750.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),215,Wage,-200.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),215,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),215,Wage,-264.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),215,Wage,-320.0,4.0,Kalico Midtown
Kalico Midtown Revenue,215,Revenue,25825.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,215,Marketing,-2750.0,4.0,Kalico Midtown
Kalico Midtown Revenue,216,Revenue,25840.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),216,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),216,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),216,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),216,Wage,-240.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),216,Wage,-64.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,216,Marketing,-2750.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),217,Wage,-168.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),217,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),217,Wage,-240.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),217,Wage,-64.0,4.0,Kalico Midtown
Kalico Midtown Revenue,217,Revenue,23098.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),217,Wage,-150.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,217,Marketing,-2750.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),218,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),218,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),218,Wage,-90.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),218,Wage,-264.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),218,Wage,-256.0,4.0,Kalico Midtown
Kalico Midtown Revenue,218,Revenue,25600.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,218,Marketing,-2750.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),219,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),219,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),219,Wage,-330.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),219,Wage,-256.0,4.0,Kalico Midtown
Kalico Midtown Revenue,219,Revenue,25414.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,219,Marketing,-2750.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),220,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),220,Wage,-250.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),220,Wage,-240.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),220,Wage,-240.0,4.0,Kalico Midtown
Kalico Midtown Revenue,220,Revenue,22911.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,220,Marketing,-2750.0,4.0,Kalico Midtown
Kalico Midtown Revenue,221,Revenue,25720.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),221,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),221,Wage,-200.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),221,Wage,-300.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),221,Wage,-240.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,221,Marketing,-2750.0,4.0,Kalico Midtown
Mollie Martinez (Kalico Midtown Daily Wage),222,Wage,-200.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),222,Wage,-240.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),222,Wage,-264.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),222,Wage,-320.0,4.0,Kalico Midtown
Kalico Midtown Revenue,222,Revenue,26371.0,4.0,Kalico Midtown
Marketing campaigns for Kalico Midtown,222,Marketing,-2750.0,4.0,Kalico Midtown
Kalico Midtown Revenue,223,Revenue,26380.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),223,Wage,-224.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),223,Wage,-200.0,4.0,Kalico Midtown
