Account,Day,Details,Amount,Transaction ID,Business Name
Marketing campaigns for Karakata Associates,247,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,247,Revenue,4560.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),247,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),247,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),247,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),247,Wage,-984.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),247,Wage,-968.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),247,Wage,-40.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,248,Marketing,-500.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),256,Wage,-968.0,5.0,Karakata Associates
Karakata Associates Revenue,256,Revenue,6840.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),256,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),256,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),256,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),256,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),256,Wage,-984.0,5.0,Karakata Associates
Karakata Associates Revenue,257,Revenue,9120.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),257,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),257,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),257,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),257,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),257,Wage,-984.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),257,Wage,-968.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,257,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,258,Revenue,9120.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),258,Wage,-40.0,5.0,Karakata Associates
Lewin Allen (Karakata Associates Daily Wage),258,Wage,-736.0,5.0,Karakata Associates
Marie Walker (Karakata Associates Daily Wage),258,Wage,-704.0,5.0,Karakata Associates
Lewis Murphy (Karakata Associates Daily Wage),258,Wage,-760.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,258,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,259,Revenue,9120.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),259,Wage,-40.0,5.0,Karakata Associates
Lewin Allen (Karakata Associates Daily Wage),259,Wage,-736.0,5.0,Karakata Associates
Marie Walker (Karakata Associates Daily Wage),259,Wage,-704.0,5.0,Karakata Associates
Lewis Murphy (Karakata Associates Daily Wage),259,Wage,-760.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,259,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,260,Revenue,6840.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),260,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),260,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),260,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),260,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),260,Wage,-984.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),260,Wage,-968.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,260,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,261,Revenue,6840.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),261,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),261,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),261,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),261,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),261,Wage,-984.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),261,Wage,-968.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,261,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,262,Revenue,6840.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),262,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),262,Wage,-736.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),262,Wage,-912.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),262,Wage,-616.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),262,Wage,-984.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),262,Wage,-968.0,5.0,Karakata Associates
Marketing campaigns for Karakata Associates,262,Marketing,-500.0,5.0,Karakata Associates
Karakata Associates Revenue,263,Revenue,6840.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),263,Wage,-40.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),263,Wage,-736.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),263,Wage,-616.0,5.0,Karakata Associates
