Account,Day,Details,Amount,Transaction ID,Business Name
Karbucks Revenue,9,Revenue,626.7,7.0,Karbucks
Karbucks Revenue,10,Revenue,595.2,7.0,Karbucks
Karbucks Revenue,11,Revenue,199.3,7.0,Karbucks
Karbucks Revenue,12,Revenue,381.5,7.0,Karbucks
Karbucks Revenue,13,Revenue,380.9,7.0,Karbucks
Karbucks Revenue,14,Revenue,134.8,7.0,Karbucks
Karbucks Revenue,15,Revenue,269.4,7.0,Karbucks
Karbucks Revenue,16,Revenue,568.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),16,Wage,-224.0,7.0,Karbucks
Karbucks Revenue,17,Revenue,723.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),17,Wage,-44.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),17,Wage,-256.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),18,Wage,-44.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),18,Wage,-256.0,7.0,Karbucks
Karbucks Revenue,18,Revenue,580.9,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),19,Wage,-44.0,7.0,Karbucks
Karbucks Revenue,19,Revenue,468.03,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),20,Wage,-44.0,7.0,Karbucks
Karbucks Revenue,20,Revenue,377.02,7.0,Karbucks
Karbucks Revenue,21,Revenue,710.06,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),21,Wage,-44.0,7.0,Karbucks
Karbucks Revenue,22,Revenue,569.21,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),22,Wage,-44.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),22,Wage,-160.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),24,Wage,-128.0,7.0,Karbucks
Karbucks Revenue,24,Revenue,839.05,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),24,Wage,-44.0,7.0,Karbucks
Katherine Moss (Karbucks Daily Wage),24,Wage,-100.0,7.0,Karbucks
Karbucks Revenue,25,Revenue,717.13,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),25,Wage,-44.0,7.0,Karbucks
Katherine Moss (Karbucks Daily Wage),25,Wage,-200.0,7.0,Karbucks
Karbucks Revenue,26,Revenue,268.2,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),26,Wage,-256.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),26,Wage,-44.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),27,Wage,-44.0,7.0,Karbucks
Karbucks Revenue,27,Revenue,910.63,7.0,Karbucks
Katherine Moss (Karbucks Daily Wage),27,Wage,-200.0,7.0,Karbucks
Karbucks Revenue,28,Revenue,1267.97,7.0,Karbucks
Katherine Moss (Karbucks Daily Wage),28,Wage,-150.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),28,Wage,-44.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),28,Wage,-160.0,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),29,Wage,-288.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),29,Wage,-44.0,7.0,Karbucks
Karbucks Revenue,29,Revenue,1065.77,7.0,Karbucks
Zoe Gomez (Karbucks Daily Wage),30,Wage,-256.0,7.0,Karbucks
Tommy Brooks (Karbucks Daily Wage),30,Wage,-44.0,7.0,Karbucks
