Account,Day,Details,Amount,Transaction ID,Business Name
Maria Willis (Karvin Kueen Daily Wage),136,Wage,-25.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),136,Wage,-32.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,136,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),137,Wage,-200.0,8.0,Karvin Kueen
Karvin Kueen Revenue,137,Revenue,5085.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),137,Wage,-32.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,137,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),138,Wage,-100.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),138,Wage,-160.0,8.0,Karvin Kueen
Karvin Kueen Revenue,138,Revenue,3760.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,138,Marketing,-500.0,8.0,Karvin Kueen
Karvin Kueen Revenue,139,Revenue,3760.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),139,Wage,-160.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),139,Wage,-100.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,139,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),140,Wage,-75.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),140,Wage,-192.0,8.0,Karvin Kueen
Karvin Kueen Revenue,140,Revenue,3760.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,140,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),141,Wage,-200.0,8.0,Karvin Kueen
Karvin Kueen Revenue,141,Revenue,3370.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),141,Wage,-32.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,141,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),142,Wage,-200.0,8.0,Karvin Kueen
Karvin Kueen Revenue,142,Revenue,3370.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),142,Wage,-32.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,142,Marketing,-500.0,8.0,Karvin Kueen
Karvin Kueen Revenue,143,Revenue,2860.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),143,Wage,-32.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),143,Wage,-200.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,143,Marketing,-500.0,8.0,Karvin Kueen
Maria Willis (Karvin Kueen Daily Wage),144,Wage,-200.0,8.0,Karvin Kueen
Karvin Kueen Revenue,144,Revenue,1500.0,8.0,Karvin Kueen
Maya Turner (Karvin Kueen Daily Wage),144,Wage,-32.0,8.0,Karvin Kueen
Marketing campaigns for Karvin Kueen,144,Marketing,-500.0,8.0,Karvin Kueen
