Account,Day,Details,Amount,Transaction ID,Business Name
Bradley Turner (Karvin Kween Daily Wage),304,Wage,-30.0,9.0,Karvin Kween
Karvin Kween Revenue,305,Revenue,9520.0,9.0,Karvin Kween
Justin Mitchell (Karvin Kween Daily Wage),305,Wage,-208.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-500.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-250.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),305,Wage,-90.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-100.0,9.0,Karvin Kween
Maria Willis (Karvin Kween Daily Wage),305,Wage,-200.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-500.0,9.0,Karvin Kween
Karvin Kween Revenue,306,Revenue,11475.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,306,Marketing,-1350.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),306,Wage,-90.0,9.0,Karvin Kween
Maya Turner (Karvin Kween Daily Wage),306,Wage,-256.0,9.0,Karvin Kween
Justin Mitchell (Karvin Kween Daily Wage),306,Wage,-208.0,9.0,Karvin Kween
Karvin Kween Revenue,307,Revenue,10800.0,9.0,Karvin Kween
Justin Mitchell (Karvin Kween Daily Wage),307,Wage,-208.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,307,Marketing,-1350.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),307,Wage,-90.0,9.0,Karvin Kween
Maria Willis (Karvin Kween Daily Wage),307,Wage,-200.0,9.0,Karvin Kween
Karvin Kween Revenue,308,Revenue,10080.0,9.0,Karvin Kween
Justin Mitchell (Karvin Kween Daily Wage),308,Wage,-208.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,308,Marketing,-1350.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),308,Wage,-90.0,9.0,Karvin Kween
Maria Willis (Karvin Kween Daily Wage),308,Wage,-200.0,9.0,Karvin Kween
Karvin Kween Revenue,309,Revenue,13320.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,309,Marketing,-1350.0,9.0,Karvin Kween
Maya Turner (Karvin Kween Daily Wage),309,Wage,-288.0,9.0,Karvin Kween
Maria Willis (Karvin Kween Daily Wage),309,Wage,-200.0,9.0,Karvin Kween
Karvin Kween Revenue,310,Revenue,11400.0,9.0,Karvin Kween
