Account,Day,Details,Amount,Transaction ID,Business Name
Marketing campaigns for Katalytica,4,Marketing,-500.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),4,Wage,-336.0,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),4,Wage,-192.0,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),4,Wage,-53.0,12.0,Katalytica
Katalytica Revenue,4,Revenue,678.0,12.0,Katalytica
Katalytica Revenue,5,Revenue,684.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),5,Wage,-344.0,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),5,Wage,-424.0,12.0,Katalytica
Marketing campaigns for Katalytica,5,Marketing,-500.0,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),5,Wage,-512.0,12.0,Katalytica
Katalytica Revenue,6,Revenue,684.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),6,Wage,-344.0,12.0,Katalytica
Marketing campaigns for Katalytica,6,Marketing,-500.0,12.0,Katalytica
Marketing campaigns for Katalytica,7,Marketing,-500.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),7,Wage,-344.0,12.0,Katalytica
Katalytica Revenue,7,Revenue,684.0,12.0,Katalytica
Marketing campaigns for Katalytica,8,Marketing,-100.0,12.0,Katalytica
Katalytica Revenue,8,Revenue,684.0,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),8,Wage,-424.0,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),8,Wage,-512.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),8,Wage,-448.0,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),9,Wage,-512.0,12.0,Katalytica
Katalytica Revenue,9,Revenue,684.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),9,Wage,-448.0,12.0,Katalytica
Marketing campaigns for Katalytica,9,Marketing,-100.0,12.0,Katalytica
Marketing campaigns for Katalytica,10,Marketing,-100.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),10,Wage,-448.0,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),10,Wage,-512.0,12.0,Katalytica
Katalytica Revenue,10,Revenue,684.0,12.0,Katalytica
Katalytica Revenue,11,Revenue,684.0,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),11,Wage,-424.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),11,Wage,-448.0,12.0,Katalytica
Marketing campaigns for Katalytica,11,Marketing,-100.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),12,Wage,-344.0,12.0,Katalytica
Katalytica Revenue,12,Revenue,660.0,12.0,Katalytica
Marketing campaigns for Katalytica,12,Marketing,-100.0,12.0,Katalytica
Marketing campaigns for Katalytica,13,Marketing,-100.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),13,Wage,-344.0,12.0,Katalytica
Katalytica Revenue,13,Revenue,660.0,12.0,Katalytica
Katalytica Revenue,14,Revenue,660.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),14,Wage,-344.0,12.0,Katalytica
Marketing campaigns for Katalytica,14,Marketing,-100.0,12.0,Katalytica
Katalytica Revenue,15,Revenue,660.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),15,Wage,-448.0,12.0,Katalytica
Marketing campaigns for Katalytica,15,Marketing,-100.0,12.0,Katalytica
