Account,Day,Details,Amount,Transaction ID,Business Name
Curtis Jackson (Katar Midtown Daily Wage),291,Wage,-288.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),291,Wage,-312.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),291,Wage,-126.0,13.0,Katar Midtown
Katar Midtown Revenue,291,Revenue,28098.0,13.0,Katar Midtown
Oscar Evans (Katar Midtown Daily Wage),291,Wage,-138.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),292,Wage,-48.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),292,Wage,-52.0,13.0,Katar Midtown
Katar Midtown Revenue,292,Revenue,41853.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,292,Marketing,-500.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,292,Marketing,-2500.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,292,Marketing,-6000.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,292,Marketing,-100.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,292,Marketing,-250.0,13.0,Katar Midtown
Oscar Evans (Katar Midtown Daily Wage),292,Wage,-276.0,13.0,Katar Midtown
Annabelle Stewart (Katar Midtown Daily Wage),292,Wage,-330.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),292,Wage,-360.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),292,Wage,-430.0,13.0,Katar Midtown
Katar Midtown Revenue,293,Revenue,49830.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),293,Wage,-252.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),293,Wage,-156.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),293,Wage,-144.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),293,Wage,-216.0,13.0,Katar Midtown
Zoe Foster (Katar Midtown Daily Wage),293,Wage,-300.0,13.0,Katar Midtown
Abbie Lopez (Katar Midtown Daily Wage),293,Wage,-168.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,293,Marketing,-9350.0,13.0,Katar Midtown
Annabelle Stewart (Katar Midtown Daily Wage),293,Wage,-198.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,294,Marketing,-9350.0,13.0,Katar Midtown
Katar Midtown Revenue,298,Revenue,60750.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),298,Wage,-63.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),298,Wage,-312.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),298,Wage,-288.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,298,Marketing,-9350.0,13.0,Katar Midtown
Annabelle Stewart (Katar Midtown Daily Wage),298,Wage,-396.0,13.0,Katar Midtown
Katar Midtown Revenue,299,Revenue,56790.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),299,Wage,-312.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),299,Wage,-288.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),299,Wage,-216.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,299,Marketing,-9350.0,13.0,Katar Midtown
Oscar Evans (Katar Midtown Daily Wage),299,Wage,-276.0,13.0,Katar Midtown
Annabelle Stewart (Katar Midtown Daily Wage),299,Wage,-198.0,13.0,Katar Midtown
Zoe Foster (Katar Midtown Daily Wage),300,Wage,-300.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),300,Wage,-516.0,13.0,Katar Midtown
Katar Midtown Revenue,300,Revenue,49521.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),300,Wage,-63.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),300,Wage,-432.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,300,Marketing,-9350.0,13.0,Katar Midtown
Zoe Foster (Katar Midtown Daily Wage),301,Wage,-300.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),301,Wage,-258.0,13.0,Katar Midtown
Katar Midtown Revenue,301,Revenue,68475.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),301,Wage,-156.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),301,Wage,-144.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),301,Wage,-42.0,13.0,Katar Midtown
Abbie Lopez (Katar Midtown Daily Wage),301,Wage,-336.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,301,Marketing,-9350.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),302,Wage,-516.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),302,Wage,-432.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,302,Marketing,-9350.0,13.0,Katar Midtown
Annabelle Stewart (Katar Midtown Daily Wage),302,Wage,-396.0,13.0,Katar Midtown
Oscar Evans (Katar Midtown Daily Wage),302,Wage,-69.0,13.0,Katar Midtown
Katar Midtown Revenue,302,Revenue,65853.0,13.0,Katar Midtown
Zoe Foster (Katar Midtown Daily Wage),303,Wage,-300.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),303,Wage,-516.0,13.0,Katar Midtown
Katar Midtown Revenue,303,Revenue,64527.0,13.0,Katar Midtown
Curtis Harris (Katar Midtown Daily Wage),303,Wage,-252.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,303,Marketing,-9350.0,13.0,Katar Midtown
