Account,Day,Details,Amount,Transaction ID,Business Name
Katar Spirits Revenue,150,Revenue,1017.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),150,Wage,-264.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),150,Wage,-46.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),151,Wage,-198.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),151,Wage,-56.0,14.0,Katar Spirits
Katar Spirits Revenue,151,Revenue,2391.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),151,Wage,-46.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,151,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),152,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),152,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,152,Revenue,4881.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,152,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),153,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,153,Revenue,6177.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),153,Wage,-224.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,153,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),154,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),154,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,154,Revenue,5577.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,154,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),155,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,155,Revenue,4812.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),155,Wage,-264.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,155,Marketing,-500.0,14.0,Katar Spirits
Katar Spirits Revenue,156,Revenue,4491.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),156,Wage,-46.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),156,Wage,-264.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,156,Marketing,-500.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,157,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),157,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,157,Revenue,3843.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),157,Wage,-264.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),158,Wage,-198.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),158,Wage,-56.0,14.0,Katar Spirits
Katar Spirits Revenue,158,Revenue,4722.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),158,Wage,-46.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,158,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),159,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),159,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,159,Revenue,5136.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,159,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),160,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,160,Revenue,6384.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),160,Wage,-224.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,160,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),161,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),161,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,161,Revenue,5715.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,161,Marketing,-500.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),162,Wage,-264.0,14.0,Katar Spirits
Katar Spirits Revenue,162,Revenue,4959.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),162,Wage,-46.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,162,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),163,Wage,-46.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),163,Wage,-264.0,14.0,Katar Spirits
Katar Spirits Revenue,163,Revenue,4332.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,163,Marketing,-500.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),164,Wage,-264.0,14.0,Katar Spirits
Katar Spirits Revenue,164,Revenue,4242.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),164,Wage,-46.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,164,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),165,Wage,-46.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),165,Wage,-198.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),165,Wage,-56.0,14.0,Katar Spirits
Katar Spirits Revenue,165,Revenue,5073.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,165,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),166,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),166,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,166,Revenue,5424.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,166,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),167,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,167,Revenue,6720.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),167,Wage,-224.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,167,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),168,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),168,Wage,-224.0,14.0,Katar Spirits
Katar Spirits Revenue,168,Revenue,6096.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,168,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),169,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,169,Revenue,5145.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),169,Wage,-264.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,169,Marketing,-500.0,14.0,Katar Spirits
Katar Spirits Revenue,170,Revenue,5028.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),170,Wage,-264.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),170,Wage,-46.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,170,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),171,Wage,-46.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),171,Wage,-264.0,14.0,Katar Spirits
Katar Spirits Revenue,171,Revenue,4242.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,171,Marketing,-500.0,14.0,Katar Spirits
Annabelle Stewart (Katar Spirits Daily Wage),172,Wage,-198.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),172,Wage,-46.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),172,Wage,-56.0,14.0,Katar Spirits
Katar Spirits Revenue,172,Revenue,5121.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,172,Marketing,-500.0,14.0,Katar Spirits
Oscar Evans (Katar Spirits Daily Wage),173,Wage,-46.0,14.0,Katar Spirits
Katar Spirits Revenue,173,Revenue,5472.0,14.0,Katar Spirits
Abbie Lopez (Katar Spirits Daily Wage),173,Wage,-224.0,14.0,Katar Spirits
Marketing campaigns for Katar Spirits,173,Marketing,-500.0,14.0,Katar Spirits
