Account,Day,Details,Amount,Transaction ID,Business Name
Katara Jewels Revenue,28,Revenue,648.0,15.0,Katara Jewels
Katara Jewels Revenue,29,Revenue,1760.0,15.0,Katara Jewels
Katara Jewels Revenue,30,Revenue,960.0,15.0,Katara Jewels
Katara Jewels Revenue,31,Revenue,825.0,15.0,Katara Jewels
Katara Jewels Revenue,32,Revenue,990.0,15.0,Katara Jewels
Katara Jewels Revenue,33,Revenue,1320.0,15.0,Katara Jewels
Katara Jewels Revenue,34,Revenue,1320.0,15.0,Katara Jewels
Katara Jewels Revenue,55,Revenue,1032.0,15.0,Katara Jewels
Katara Jewels Revenue,56,Revenue,1032.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),56,Wage,-27.0,15.0,Katara Jewels
Katara Jewels Revenue,57,Revenue,516.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),57,Wage,-216.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),58,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,58,Revenue,344.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),59,Wage,-216.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,59,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,59,Revenue,344.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),60,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,60,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,60,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,61,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,61,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),62,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,62,Revenue,860.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,62,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),63,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,63,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,63,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),64,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,64,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,64,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),65,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,65,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,65,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),66,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,66,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,66,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),67,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,67,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,67,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,68,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,68,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),69,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,69,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,69,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,70,Revenue,1032.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),70,Wage,-216.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,70,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,71,Revenue,1032.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),71,Wage,-216.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,71,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),72,Wage,-216.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,72,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,72,Revenue,516.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),73,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,73,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,73,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),74,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,74,Revenue,516.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,74,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,75,Revenue,8700.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,75,Marketing,-100.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),76,Wage,-75.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),76,Wage,-216.0,15.0,Katara Jewels
Katara Jewels Revenue,76,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,76,Marketing,-100.0,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),77,Wage,-216.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),77,Wage,-75.0,15.0,Katara Jewels
Katara Jewels Revenue,77,Revenue,1032.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,77,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,78,Revenue,1032.0,15.0,Katara Jewels
Replacement for Katherine Moss (Katara Jewels Wage),78,ReplacementWage,-93.75,15.0,Katara Jewels
Nathaniel Hill (Katara Jewels Daily Wage),78,Wage,-216.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,78,Marketing,-100.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),79,Wage,-100.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),79,Wage,-128.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,79,Marketing,-100.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,80,Marketing,-500.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),80,Wage,-192.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),80,Wage,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,80,Revenue,1892.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,80,Marketing,-100.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),81,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),81,Wage,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,81,Revenue,2408.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,81,Marketing,-600.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),82,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),82,Wage,-150.0,15.0,Katara Jewels
Katara Jewels Revenue,82,Revenue,8000.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,82,Marketing,-600.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),83,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),83,Wage,-100.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,83,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,83,Revenue,2975.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,83,Marketing,-500.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,83,Marketing,-250.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,83,Marketing,-600.0,15.0,Katara Jewels
Katara Jewels Revenue,84,Revenue,2200.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),84,Wage,-100.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),84,Wage,-128.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,84,Marketing,-600.0,15.0,Katara Jewels
