Account,Day,Details,Amount,Transaction ID,Business Name
The Green Salad Revenue,226,Revenue,1258.9,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),226,Wage,-600.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),226,Wage,-220.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),226,Wage,-266.0,17.0,The Green Salad
The Green Salad Revenue,227,Revenue,2025.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),227,Wage,-350.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),227,Wage,-616.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),227,Wage,-266.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),228,Wage,-266.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),228,Wage,-616.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),228,Wage,-224.0,17.0,The Green Salad
Zoe Cooper (The Green Salad Daily Wage),228,Wage,-186.0,17.0,The Green Salad
The Green Salad Revenue,228,Revenue,5229.6,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),229,Wage,-266.0,17.0,The Green Salad
The Green Salad Revenue,229,Revenue,5726.0,17.0,The Green Salad
Zoe Cooper (The Green Salad Daily Wage),229,Wage,-434.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),229,Wage,-224.0,17.0,The Green Salad
Zoe Thompson (The Green Salad Daily Wage),229,Wage,-306.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),230,Wage,-350.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),230,Wage,-266.0,17.0,The Green Salad
Zoe Thompson (The Green Salad Daily Wage),230,Wage,-340.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),230,Wage,-288.0,17.0,The Green Salad
The Green Salad Revenue,230,Revenue,12368.0,17.0,The Green Salad
Marketing campaigns for The Green Salad,230,Marketing,-100.0,17.0,The Green Salad
Marketing campaigns for The Green Salad,230,Marketing,-250.0,17.0,The Green Salad
Marketing campaigns for The Green Salad,230,Marketing,-500.0,17.0,The Green Salad
Marketing campaigns for The Green Salad,230,Marketing,-500.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),231,Wage,-448.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),231,Wage,-400.0,17.0,The Green Salad
Zoe Thompson (The Green Salad Daily Wage),231,Wage,-374.0,17.0,The Green Salad
The Green Salad Revenue,231,Revenue,12464.0,17.0,The Green Salad
Marketing campaigns for The Green Salad,231,Marketing,-1350.0,17.0,The Green Salad
The Green Salad Revenue,232,Revenue,12244.0,17.0,The Green Salad
Zoe Cooper (The Green Salad Daily Wage),232,Wage,-868.0,17.0,The Green Salad
