Account,Day,Details,Amount,Transaction ID,Business Name
Nicholas Sanchez (The Suits Law Firm Daily Wage),233,Wage,-363.0,18.0,The Suits Law Firm
Christian Turner (The Suits Law Firm Daily Wage),233,Wage,-1020.0,18.0,The Suits Law Firm
Helen Richardson (The Suits Law Firm Daily Wage),233,Wage,-600.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),233,Wage,-567.0,18.0,The Suits Law Firm
Lydia Young (The Suits Law Firm Daily Wage),233,Wage,-675.0,18.0,The Suits Law Firm
Katie Butler (The Suits Law Firm Daily Wage),233,Wage,-777.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),233,Wage,-333.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),233,Wage,-384.0,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),233,Wage,-504.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),233,Wage,-513.0,18.0,The Suits Law Firm
Isabel Roberts (The Suits Law Firm Daily Wage),233,Wage,-504.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),233,Wage,-546.0,18.0,The Suits Law Firm
Lara Casey (The Suits Law Firm Daily Wage),233,Wage,-999.0,18.0,The Suits Law Firm
Alan Perry (The Suits Law Firm Daily Wage),233,Wage,-792.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),233,Wage,-525.0,18.0,The Suits Law Firm
Victor Jenkins (The Suits Law Firm Daily Wage),233,Wage,-702.0,18.0,The Suits Law Firm
Vincent Roberts (The Suits Law Firm Daily Wage),233,Wage,-906.0,18.0,The Suits Law Firm
Ruth Gray (The Suits Law Firm Daily Wage),233,Wage,-612.0,18.0,The Suits Law Firm
Lindsey Lewis (The Suits Law Firm Daily Wage),233,Wage,-807.0,18.0,The Suits Law Firm
Maria Nicholson (The Suits Law Firm Daily Wage),233,Wage,-579.0,18.0,The Suits Law Firm
Marcus Barton (The Suits Law Firm Daily Wage),233,Wage,-612.0,18.0,The Suits Law Firm
Danny Sullivan (The Suits Law Firm Daily Wage),233,Wage,-675.0,18.0,The Suits Law Firm
Alan Howard (The Suits Law Firm Daily Wage),233,Wage,-762.0,18.0,The Suits Law Firm
Garfield Harris (The Suits Law Firm Daily Wage),233,Wage,-675.0,18.0,The Suits Law Firm
Courtney Nicholson (The Suits Law Firm Daily Wage),233,Wage,-363.0,18.0,The Suits Law Firm
The Suits Law Firm Revenue,233,Revenue,6000.0,18.0,The Suits Law Firm
Tia Carr (The Suits Law Firm Daily Wage),233,Wage,-486.0,18.0,The Suits Law Firm
Leah Martin (The Suits Law Firm Daily Wage),233,Wage,-423.0,18.0,The Suits Law Firm
Georgia Hill (The Suits Law Firm Daily Wage),233,Wage,-690.0,18.0,The Suits Law Firm
Alexandra Ward (The Suits Law Firm Daily Wage),233,Wage,-675.0,18.0,The Suits Law Firm
Alisha Bell (The Suits Law Firm Daily Wage),233,Wage,-690.0,18.0,The Suits Law Firm
Taylor Gray (The Suits Law Firm Daily Wage),233,Wage,-369.0,18.0,The Suits Law Firm
Georgina Brown (The Suits Law Firm Daily Wage),233,Wage,-1041.0,18.0,The Suits Law Firm
Ava Barton (The Suits Law Firm Daily Wage),233,Wage,-465.0,18.0,The Suits Law Firm
Margaret Smith (The Suits Law Firm Daily Wage),233,Wage,-348.0,18.0,The Suits Law Firm
Jason Powell (The Suits Law Firm Daily Wage),233,Wage,-717.0,18.0,The Suits Law Firm
Tobias Price (The Suits Law Firm Daily Wage),233,Wage,-732.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),233,Wage,-333.0,18.0,The Suits Law Firm
Annabel Nelson (The Suits Law Firm Daily Wage),233,Wage,-906.0,18.0,The Suits Law Firm
Charlotte Murphy (The Suits Law Firm Daily Wage),233,Wage,-477.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),233,Wage,-579.0,18.0,The Suits Law Firm
Sandy Johnson (The Suits Law Firm Daily Wage),233,Wage,-1041.0,18.0,The Suits Law Firm
Natalie Nelson (The Suits Law Firm Daily Wage),233,Wage,-873.0,18.0,The Suits Law Firm
Ben Anderson (The Suits Law Firm Daily Wage),233,Wage,-639.0,18.0,The Suits Law Firm
Louise Gomez (The Suits Law Firm Daily Wage),233,Wage,-600.0,18.0,The Suits Law Firm
Scott Robinson (The Suits Law Firm Daily Wage),233,Wage,-612.0,18.0,The Suits Law Firm
Morgan Barnes (The Suits Law Firm Daily Wage),233,Wage,-408.0,18.0,The Suits Law Firm
Marketing campaigns for The Suits Law Firm,233,Marketing,-250.0,18.0,The Suits Law Firm
Marketing campaigns for The Suits Law Firm,233,Marketing,-2500.0,18.0,The Suits Law Firm
Lydia Young (The Suits Law Firm Daily Wage),234,Wage,-1125.0,18.0,The Suits Law Firm
Scott Robinson (The Suits Law Firm Daily Wage),234,Wage,-612.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),234,Wage,-555.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),234,Wage,-640.0,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),234,Wage,-840.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),234,Wage,-855.0,18.0,The Suits Law Firm
Courtney Nicholson (The Suits Law Firm Daily Wage),234,Wage,-363.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),234,Wage,-605.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),234,Wage,-910.0,18.0,The Suits Law Firm
Alan Howard (The Suits Law Firm Daily Wage),234,Wage,-762.0,18.0,The Suits Law Firm
Marcus Barton (The Suits Law Firm Daily Wage),234,Wage,-1020.0,18.0,The Suits Law Firm
Isabel Roberts (The Suits Law Firm Daily Wage),234,Wage,-840.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),234,Wage,-945.0,18.0,The Suits Law Firm
Vincent Roberts (The Suits Law Firm Daily Wage),234,Wage,-1510.0,18.0,The Suits Law Firm
Christian Turner (The Suits Law Firm Daily Wage),234,Wage,-1700.0,18.0,The Suits Law Firm
Katie Butler (The Suits Law Firm Daily Wage),234,Wage,-1295.0,18.0,The Suits Law Firm
Lara Casey (The Suits Law Firm Daily Wage),234,Wage,-1665.0,18.0,The Suits Law Firm
Danny Sullivan (The Suits Law Firm Daily Wage),234,Wage,-1125.0,18.0,The Suits Law Firm
Alan Perry (The Suits Law Firm Daily Wage),234,Wage,-1320.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),234,Wage,-875.0,18.0,The Suits Law Firm
Victor Jenkins (The Suits Law Firm Daily Wage),234,Wage,-1170.0,18.0,The Suits Law Firm
