Jason Russell (Katalytica Midtown Daily Wage),323,Wage,-1168,1287159
Rosie Garcia (Katalytica Midtown Daily Wage),323,Wage,-1016,1286143
Public parking for UMC Desert,323,PublicParking,-120,1286023
Public parking for Freight Truck T1,323,PublicParking,-360,1285663
31 1st Avenue Rent,324,Rent,-201.106,1285462
The Suits Law Firm Revenue,323,Revenue,76800,1362262
59 3rd Street Rent,324,Rent,-75.99196,1362186
29 5th Avenue Rent,324,Rent,-24.32862,1362161
Karakata Associates Revenue,323,Revenue,6840,1369001
29 1st Avenue Rent,324,Rent,-317.3102,1368684
Kalico Midtown Revenue,323,Revenue,28741,1397425
24 2nd Avenue Rent,324,Rent,-460.3931,1396965
3 2nd Avenue Rent,324,Rent,-154.5364,1396810
Karvin Kween Revenue,323,Revenue,12000,1408810
21 5th Avenue Rent,324,Rent,-145.9717,1408664
33 5th Avenue Rent,324,Rent,-230.1557,1408434
5 8th Street Rent,324,Rent,-135.4097,1408299
Elite Couture Revenue,323,Revenue,83400,1491699
19 1st Avenue Rent,324,Rent,-250.508,1491448
The Green Salad Revenue,323,Revenue,17072,1508520
30 2nd Avenue Rent,324,Rent,-1158.506,1507362
Elite Jewels Revenue,323,Revenue,238600,1745962
44 1st Avenue Rent,324,Rent,-535.2296,1745427
Katalytica Midtown Revenue,323,Revenue,173600,1919027
6 3rd Avenue Rent,324,Rent,-1158.506,1917868
Katar Midtown Revenue,323,Revenue,54753,1972621
Delivery from SeaSide Internationals,324,ImportDelivery,-25877.69,1946743
Delivery from JetCargo Imports,324,ImportDelivery,-2822.044,1943921
Marketing campaigns for The Suits Law Firm,324,Marketing,-2750,1941171
Marketing campaigns for Karakata Associates,324,Marketing,-500,1940671
Marketing campaigns for Kalico Midtown,324,Marketing,-2750,1937921
Marketing campaigns for Karvin Kween,324,Marketing,-1350,1936571
Marketing campaigns for Elite Couture,324,Marketing,-1350,1935221
Marketing campaigns for The Green Salad,324,Marketing,-1350,1933871
Marketing campaigns for Elite Jewels,324,Marketing,-9350,1924521
Marketing campaigns for Katalytica Midtown,324,Marketing,-6350,1918171
Marketing campaigns for Katar Midtown,324,Marketing,-9350,1908821
Recruitment Campaign,324,RecruitmentCampaign,-5000,1903821
Recruitment Campaign,324,RecruitmentCampaign,-2500,1901321
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-3200,1898121
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-1500,1896621
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-3200,1893421
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-3200,1890221
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-3200,1887021
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-4800,1882221
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-8800,1873421
Purchase from Mr. Scott's Office Supplies,324,ItemPurchase,-200,1873221
42 3rd Street rent revenue,325,RentRevenue,284.497,1873506
Evie Jones (Katalytica Midtown Daily Wage),324,Wage,-448,1873058
Lily Barton (Katalytica Midtown Daily Wage),324,Wage,-344,1872714
Zoe Gomez (Elite Jewels Daily Wage),324,Wage,-256,1872458
Tommy Brooks (Katalytica Midtown Daily Wage),324,Wage,-66,1872392
Christian Hall (Karakata Holdings Daily Wage),324,Wage,-184,1872208
Merit Johnson (Karakata Holdings Daily Wage),324,Wage,-224,1871984
Katherine Moss (Elite Jewels Daily Wage),324,Wage,-200,1871784
Lara Norris (Warehouse #1 Daily Wage),324,Wage,-153.9,1871630
Grover Brown (Karakata Holdings Daily Wage),324,Wage,-200,1871430
Maria Willis (Karvin Kween Daily Wage),324,Wage,-200,1871230
Olivia Cox (Katalytica Midtown Daily Wage),324,Wage,-432,1870798
Tristan Barker (Katalytica Midtown Daily Wage),324,Wage,-536,1870262
Maya Turner (Karvin Kween Daily Wage),324,Wage,-288,1869974
Mollie Jenkins (Karakata Holdings Daily Wage),324,Wage,-224,1869750
Abbie Lopez (Katar Midtown Daily Wage),324,Wage,-168,1869582
Traci Parker (Elite Jewels Daily Wage),324,Wage,-78,1869504
Douglas Collins (Karakata Holdings Daily Wage),324,Wage,-44,1869460
Frederick Kelly (Elite Couture Daily Wage),324,Wage,-54,1869406
Lilly Harris (Elite Couture Daily Wage),324,Wage,-216,1869190
Lara Wright (Elite Couture Daily Wage),324,Wage,-232,1868958
Scarlett Davis (Elite Couture Daily Wage),324,Wage,-132,1868826
Christen Butler (Elite Jewels Daily Wage),324,Wage,-240,1868586
Katie Ward (Elite Jewels Daily Wage),324,Wage,-256,1868330
Eliza Owens (Katar Midtown Daily Wage),324,Wage,-432,1867898
Kathryn James (Karakata Holdings Daily Wage),324,Wage,-208,1867690
Georgina Lopez (Karakata Holdings Daily Wage),324,Wage,-192,1867498
Zachary Hill (Warehouse #2 Daily Wage),324,Wage,-159.6,1867338
Mollie Martinez (Kalico Midtown Daily Wage),324,Wage,-200,1867138
Traci Miles (Karakata Holdings Daily Wage),324,Wage,-192,1866946
Eve Sullivan (Kalico Midtown Daily Wage),324,Wage,-240,1866706
Wilhelmina Cooper (Kalico Midtown Daily Wage),324,Wage,-330,1866376
Leon Powell (Kalico Midtown Daily Wage),324,Wage,-256,1866120
Ralph Hughes (The Green Salad Daily Wage),324,Wage,-266,1865854
Helen Watson (The Green Salad Daily Wage),324,Wage,-308,1865546
Jennifer Kelly (The Green Salad Daily Wage),324,Wage,-700,1864846
Zoe Cooper (The Green Salad Daily Wage),324,Wage,-124,1864722
Mark Nelson (Katar Midtown Daily Wage),324,Wage,-516,1864206
Zoe Foster (Katar Midtown Daily Wage),324,Wage,-300,1863906
Ruth Gray (The Suits Law Firm Daily Wage),324,Wage,-1632,1862274
Ava Powell (The Suits Law Firm Daily Wage),324,Wage,-1400,1860874
Helen Richardson (The Suits Law Firm Daily Wage),324,Wage,-1600,1859274
Daisy Williams (The Suits Law Firm Daily Wage),324,Wage,-1512,1857762
Lindsey Hall (The Suits Law Firm Daily Wage),324,Wage,-888,1856874
Taylor Myers (The Suits Law Firm Daily Wage),324,Wage,-1024,1855850
Ava Rogers (The Suits Law Firm Daily Wage),324,Wage,-1344,1854506
Elise Sanchez (The Suits Law Firm Daily Wage),324,Wage,-1368,1853138
Owen Martin (The Suits Law Firm Daily Wage),324,Wage,-1456,1851682
Isabel Roberts (The Suits Law Firm Daily Wage),324,Wage,-1008,1850674
Louise Gomez (The Suits Law Firm Daily Wage),324,Wage,-1600,1849074
Charlotte Murphy (The Suits Law Firm Daily Wage),324,Wage,-1272,1847802
Leah Martin (The Suits Law Firm Daily Wage),324,Wage,-1128,1846674
Kevin Bennett (The Suits Law Firm Daily Wage),324,Wage,-56,1846618
Sonny Mitchell (Karakata Associates Daily Wage),324,Wage,-968,1845650
Naomi Robinson (Karakata Associates Daily Wage),324,Wage,-984,1844666
Stephanie Wilson (Karakata Associates Daily Wage),324,Wage,-616,1844050
Roosevelt Wright (Karakata Associates Daily Wage),324,Wage,-912,1843138
Homer Foster (Karakata Associates Daily Wage),324,Wage,-736,1842402
Sadie Powell (Karakata Associates Daily Wage),324,Wage,-40,1842362
Clara Williams (Elite Jewels Daily Wage),324,Wage,-496,1841866
Curtis Harris (Katar Midtown Daily Wage),324,Wage,-252,1841614
Zoe Campbell (Karakata Holdings Daily Wage),324,Wage,-232,1841382
