Account,Day,Details,Amount,Balance,Transaction ID,Business Name
42 3rd Street Deposit,1,Deposit,-1230.692,98769.3,,
Purchase from Discount Market,1,ItemPurchase,-80.0,82305.47,,
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-1600.0,82385.47,,
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-3600.0,83985.47,,
Public parking for UMC Desert,1,PublicParking,-15.0,82290.47,,
UMC Desert,1,VehicleBought,-6000.0,92385.47,,
37 3rd Street Rent,1,Rent,-9.478683,98385.47,,
37 3rd Street Deposit,1,Deposit,-374.3605,98394.95,,
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-4800.0,87585.47,,
37 3rd Street Rent,2,Rent,-9.478683,82280.99,,
42 3rd Street Rent,2,Rent,-38.02306,82242.97,,
Hospital Bill,2,HospitalBill,-2000.0,80242.97,,
Taxi Ride,2,TaxiRide,-103.9025,80139.06,,
Purchase from IKA BOHAG,2,ItemPurchase,-3520.0,76619.06,,
Recruitment Campaign,3,RecruitmentCampaign,-2000.0,75802.26,,
Public parking for UMC Desert,3,PublicParking,-7.5,72274.76,,
Returned deposit for 42 3rd Street,3,DepositReturn,1140.692,77802.26,,
Purchase from IKA BOHAG,3,ItemPurchase,-3520.0,72282.26,,
42 3rd Street Rent,3,Rent,-38.02306,76571.56,,
37 3rd Street Rent,3,Rent,-9.478683,76609.59,,
Furniture+inventory and vehicles from 42 3rd Street,3,DepositReturnFurniture,90.0,76661.56,,
37 3rd Street Rent,4,Rent,-9.478683,72265.28,,
Interior Designer,4,InteriorDesigner,-1530.0,70735.28,,
Marketing campaigns for Katalytica,4,Marketing,-500.0,70235.28,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),4,Wage,-336.0,69899.28,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),4,Wage,-192.0,69707.28,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),4,Wage,-53.0,69654.28,12.0,Katalytica
Public parking for UMC Desert,4,PublicParking,-7.5,69646.78,,
Katalytica Revenue,4,Revenue,678.0,70315.3,12.0,Katalytica
Katalytica Revenue,5,Revenue,684.0,69209.83,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),5,Wage,-344.0,68535.3,12.0,Katalytica
Nancy Thompson (Katalytica Daily Wage),5,Wage,-424.0,68879.3,12.0,Katalytica
37 3rd Street Rent,5,Rent,-9.478683,69637.3,,
Marketing campaigns for Katalytica,5,Marketing,-500.0,69815.3,12.0,Katalytica
Leon Nelson (Katalytica Daily Wage),5,Wage,-512.0,69303.3,12.0,Katalytica
Katalytica Revenue,6,Revenue,684.0,65373.25,12.0,Katalytica
Purchase from Metro Wholesale,6,ItemPurchase,-197.5588,65627.5,,
Lily Barton (Katalytica Daily Wage),6,Wage,-344.0,64706.23,12.0,Katalytica
Purchase from NY Distro Inc,6,ItemPurchase,-577.2683,65050.23,,
Purchase from Square Appliances,6,ItemPurchase,-470.0,65825.06,,
Public parking for UMC Desert,6,PublicParking,-7.5,64698.73,,
41 3rd Street Rent,6,Rent,-13.54097,68170.06,,
37 3rd Street Rent,6,Rent,-9.478683,68525.83,,
