Account,Day,Details,Amount,Balance,Transaction ID,Net Daily Revenue
42 3rd Street Deposit,1,Deposit,-1230.692,98769.3,,
Purchase from Discount Market,1,ItemPurchase,-80.0,82305.47,,
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-1600.0,82385.47,,
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-3600.0,83985.47,,
Public parking for UMC Desert,1,PublicParking,-15.0,82290.47,,678.0
UMC Desert,1,VehicleBought,-6000.0,92385.47,,684.0
37 3rd Street Rent,1,Rent,-9.478683,98385.47,,684.0
37 3rd Street Deposit,1,Deposit,-374.3605,98394.95,,684.0
Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-4800.0,87585.47,,684.0
37 3rd Street Rent,2,Rent,-9.478683,82280.99,,1310.7
42 3rd Street Rent,2,Rent,-38.02306,82242.97,,1279.2
Hospital Bill,2,HospitalBill,-2000.0,80242.97,,883.3
Taxi Ride,2,TaxiRide,-103.9025,80139.06,,1041.5
Purchase from IKA BOHAG,2,ItemPurchase,-3520.0,76619.06,,1040.9
Recruitment Campaign,3,RecruitmentCampaign,-2000.0,75802.26,,794.8
Public parking for UMC Desert,3,PublicParking,-7.5,72274.76,,929.4
Returned deposit for 42 3rd Street,3,DepositReturn,1140.692,77802.26,,1228.0
Purchase from IKA BOHAG,3,ItemPurchase,-3520.0,72282.26,,1383.0
42 3rd Street Rent,3,Rent,-38.02306,76571.56,,1240.9
37 3rd Street Rent,3,Rent,-9.478683,76609.59,,1238.03
Furniture+inventory and vehicles from 42 3rd Street,3,DepositReturnFurniture,90.0,76661.56,,1147.02
37 3rd Street Rent,4,Rent,-9.478683,72265.28,,1480.06
Interior Designer,4,InteriorDesigner,-1530.0,70735.28,,1339.21
Marketing campaigns for Katalytica,4,Marketing,-500.0,70235.28,WK7WS,770.0
Evie Jones (Katalytica Daily Wage),4,Wage,-336.0,69899.28,WK7WS,1609.05
Leon Nelson (Katalytica Daily Wage),4,Wage,-192.0,69707.28,WK7WS,1487.13
Nancy Thompson (Katalytica Daily Wage),4,Wage,-53.0,69654.28,WK7WS,1038.2
Public parking for UMC Desert,4,PublicParking,-7.5,69646.78,,1680.63
Katalytica Revenue,4,Revenue,678.0,70315.3,WK7WS,2685.9700000000003
Katalytica Revenue,5,Revenue,684.0,69209.83,WK7WS,3595.77
Lily Barton (Katalytica Daily Wage),5,Wage,-344.0,68535.3,WK7WS,2710.48
Nancy Thompson (Katalytica Daily Wage),5,Wage,-424.0,68879.3,WK7WS,2585.75
37 3rd Street Rent,5,Rent,-9.478683,69637.3,,2833.08
Marketing campaigns for Katalytica,5,Marketing,-500.0,69815.3,WK7WS,3186.34
Leon Nelson (Katalytica Daily Wage),5,Wage,-512.0,69303.3,WK7WS,3264.7200000000003
Katalytica Revenue,6,Revenue,684.0,65373.25,WK7WS,
Purchase from Metro Wholesale,6,ItemPurchase,-197.5588,65627.5,,
Lily Barton (Katalytica Daily Wage),6,Wage,-344.0,64706.23,WK7WS,
Purchase from NY Distro Inc,6,ItemPurchase,-577.2683,65050.23,,
Purchase from Square Appliances,6,ItemPurchase,-470.0,65825.06,,
